0	0
0.005	22
0.015	166
0.025	458
0.035	1012
0.045	3977
0.055	17679
0.065	41907
0.075	66331
0.085	84437
0.095	95685
0.105	98995
0.115	99272
0.125	98433
0.135	93772
0.145	88813
0.155	83294
0.165	77391
0.175	73479
0.185	69936
0.195	66382
0.205	62998
0.215	62537
0.225	64438
0.235	61617
0.245	58697
0.255	55991
0.265	53564
0.275	50698
0.285	48443
0.295	47011
0.305	44826
0.315	42660
0.325	41085
0.335	39849
0.345	38527
0.355	37212
0.365	35573
0.375	34764
0.385	33486
0.395	32734
0.405	31618
0.415	30869
0.425	29833
0.435	28902
0.445	28497
0.455	27957
0.465	26597
0.475	26147
0.485	25529
0.495	25317
0.505	24454
0.515	24116
0.525	23488
0.535	23274
0.545	22672
0.555	22576
0.565	21828
0.575	21510
0.585	21160
0.595	20751
0.605	20847
0.615	20263
0.625	20124
0.635	19638
0.645	19385
0.655	19113
0.665	18787
0.675	18467
0.685	18304
0.695	18265
0.705	17984
0.715	17895
0.725	17544
0.735	17379
0.745	17271
0.755	17136
0.765	16826
0.775	16795
0.785	16650
0.795	16486
0.805	16090
0.815	16091
0.825	15840
0.835	15810
0.845	15926
0.855	15641
0.865	15688
0.875	15404
0.885	15181
0.895	15090
0.905	15059
0.915	14795
0.925	14906
0.935	14924
0.945	14694
0.955	14628
0.965	14678
0.975	14417
0.985	14593
0.995	14428
1.005	14205
1.015	14066
1.025	14158
1.035	14196
1.045	13945
1.055	13932
1.065	14086
1.075	13754
1.085	13950
1.095	13985
1.105	13681
1.115	13525
1.125	13606
1.135	13684
1.145	13316
1.155	13455
1.165	13440
1.175	13546
1.185	13520
1.195	13345
1.205	13473
1.215	13340
1.225	13393
1.235	13103
1.245	13234
1.255	13362
1.265	13206
1.275	13262
1.285	13347
1.295	13242
1.305	13051
1.315	13132
1.325	13181
1.335	13021
1.345	13125
1.355	13149
1.365	12945
1.375	13097
1.385	13100
1.395	13346
1.405	13074
1.415	13150
1.425	13024
1.435	12827
1.445	12915
1.455	12864
1.465	1.89666e+06
